"id","city","state_code","state_name","country","lat","lng"
"e0a22501-333e-44de-afb3-0c818f0710e0","Shenandoah Junction","WV","""West Virginia""","US","39.371084","-77.889240"
"443c3803-5ec0-424b-a6a4-900990ae0291","Shenorock","NY","""New York""","US","41.331667","-73.738611"
"1bc9955a-285d-4bee-b654-fba16c710344","Shepardsville","IN","Indiana","US","39.600833","-87.417500"
"f87b5c06-100d-484b-be48-b0c8882aeb6f","Shepherd","MI","Michigan","US","43.565668","-84.587317"
"27df3785-334a-43d2-b5cc-018aebff62c0","Shepherd","MT","Montana","US","45.946080","-108.342634"
"85efd423-b1c7-4be3-8e0e-dc04d69654a4","Shepherd","TX","Texas","US","30.483396","-95.092913"
"bdc8f097-cabd-4b6f-9602-da96e5364e57","Shepherdstown","WV","""West Virginia""","US","39.431124","-77.815819"
"e84afd33-42ab-4fea-91ce-44414774aa56","Shepherdsville","KY","Kentucky","US","38.004515","-85.688767"
"c772c388-2869-428d-b440-5a88087368f2","Sheppard Afb","TX","Texas","US","33.982353","-98.508771"
"28d4dc33-638e-4a40-a3f9-026643573a37","Sheppton","PA","Pennsylvania","US","40.888073","-76.137952"
"1505966b-b430-4469-bf2a-cc7f13069216","Sherard","MS","Mississippi","US","34.215556","-90.706111"
"70c02358-15b7-42fc-a083-8b8e2e0fdc40","Sherborn","MA","Massachusetts","US","42.233088","-71.378717"
"b7cb67ef-d907-4fef-94e1-687cc8733be4","Sherburn","MN","Minnesota","US","43.661089","-94.726877"
"a7b57c4c-1dd5-4e86-a1bf-c32df3c0d3f7","Sherburne","NY","""New York""","US","42.685885","-75.483027"
"c83a0bfb-860d-4284-8b60-aa5ce0db786b","Sheridan","AR","Arkansas","US","34.316527","-92.365713"
"12af7134-f118-4d2d-870f-e7f93d9026f5","Sheridan","CA","California","US","38.991530","-121.362062"
"bf31de82-457c-449c-a136-be1cf0d6a2fd","Sheridan","IL","Illinois","US","41.516428","-88.670634"
"070aa186-91ed-4f4c-ae4d-d2d3949c16f5","Sheridan","IN","Indiana","US","40.110407","-86.236741"
"6c15c239-0843-46c6-a604-ce09a5017fd0","Sheridan","ME","Maine","US","46.657222","-68.405556"
"c92f1444-db57-42c7-a9a8-7793286adf3b","Sheridan","MI","Michigan","US","43.212632","-85.046838"
"193e22a8-7559-4c9c-bdf9-5fdc0f5e5f4e","Sheridan","MO","Missouri","US","40.492822","-94.570149"
"0caee715-6495-4a73-9451-acdf15fd112d","Sheridan","MT","Montana","US","45.422968","-112.173543"
"2e0bf183-2b29-40e7-962d-0fe12a4736d0","Sheridan","NY","""New York""","US","42.488333","-79.237500"
"a88c5961-f380-4192-b047-9058d402f0ff","Sheridan","OR","Oregon","US","45.089703","-123.400335"
"2c58cedf-8f61-4506-b5cc-43466ce5f6bb","Sheridan","TX","Texas","US","29.493333","-96.670833"
"942a506c-e7c9-4eef-810d-be7e1390110f","Sheridan","WY","Wyoming","US","44.784860","-106.964795"
"0dafa1bb-3381-4b20-a824-6602d1212820","Sheridan Lake","CO","Colorado","US","38.462172","-102.295367"
"6296e800-2511-4ba9-8a70-fdf8b98a275e","Sherman","CT","Connecticut","US","41.571366","-73.494694"
"64924542-2536-4924-9578-15be5acbcd61","Sherman","IL","Illinois","US","39.889456","-89.602510"
"72de91de-3153-4032-813a-25681244f3a9","Sherman","ME","Maine","US","45.877727","-68.369587"
"5790a46b-3e37-4133-800e-19eb35372389","Sherman","MS","Mississippi","US","34.359167","-88.841111"
"5d46c89b-d6d3-418b-8262-0f1a205dc87c","Sherman","NY","""New York""","US","42.163124","-79.585742"
"2060e6ec-a4cc-4abf-a6eb-e71f7450dba7","Sherman","TX","Texas","US","33.643525","-96.607521"
"494484d4-34a1-49c9-afa5-688908f6450d","Sherman Oaks","CA","California","US","34.151407","-118.460325"
"8b8efacf-8e7c-42fd-8b04-5e3782444036","Shermans Dale","PA","Pennsylvania","US","40.329898","-77.180856"
"55d35534-31c5-4a37-b204-1b0d6af99d54","Sherrard","IL","Illinois","US","41.302669","-90.493863"
"7ccb03d8-c4b9-44de-99ed-be91175e8bee","Sherrill","AR","Arkansas","US","34.358148","-91.993285"
"f1a34d32-387e-4852-bde8-10a6be86b610","Sherrill","IA","Iowa","US","42.617078","-90.811486"
"9ca39228-2670-4503-acac-e12913413e7b","Sherrill","NY","""New York""","US","43.070397","-75.598975"
"a4456d46-55f2-43c4-81c1-040c3713a01f","Sherrills Ford","NC","""North Carolina""","US","35.596244","-81.033859"
"d83000ff-c3c6-452d-873f-482c13fff6a4","Sherrodsville","OH","Ohio","US","40.518418","-81.233945"
"e52ba823-c3ff-4c5a-bec2-7c39ea3b4735","Sherwood","AR","Arkansas","US","34.859292","-92.214169"
"c3529c10-157b-434f-b6bd-b22c81486747","Sherwood","MD","Maryland","US","38.737410","-76.327822"
"57bb9e71-c716-4ab1-997d-f94fced1c0da","Sherwood","MI","Michigan","US","42.010736","-85.240797"
